,Specimen Page,Sequence Length,Genus,Species,Genus species,% Match,Notes,Common_Name,Cruise ID,Haul ID,Station ID,Latitude,Longitude,SST,Depth,Stage,Picture file(s),Day,Month,Year,Time
NYOS2205E02SW_B08,NYOS400-22,652,Scophthalmus,"aquosus","Scophthalmus aquosus",100,,Windowpane Flounder,2205,E02,7.2,40.65.893,73.38.8358,9.79,40.43,Larva,https://drive.google.com/file/d/1ZkbkZfNc1cDGDWOCgoPTwvEjBYwIlkIk/view?usp=share_link,,,,
NYOS2205E06SW_B09,NYOS2205E06SW_B09,0,,,,,"Clear with cloudy white spread inside, mushed",,2205,E06,7.6,,,,,Egg,https://drive.google.com/file/d/1ggBdLf3CB0dlfaQmKtNLlZsRPS7E22xO/view?usp=share_link,,,,
NYOS2205E06SW_B10,NYOS2205E06SW_B10,0,,,,,Clear with cloudy white ball inside,,2205,E06,7.6,,,,,Egg,https://drive.google.com/file/d/1TJyVJ0DDP8e-42t_zlUjR4DKhXo2Nkia/view?usp=share_link,,,,
NYOS2205E06SW_B11,NYOS403-22,211,Vinciguerria,attenuata,Vinciguerria attenuata,100,,Slender Lightfish,2205,E06,7.6,38.32.157,73.04.088,13.74,1086,Egg,https://drive.google.com/file/d/15Zuce-2KyXI4vlNm9SYmXqanMIZ8kshp/view?usp=share_link,,,,
NYOS2103E14SW_B12,NYOS404-22,652,Ammodytes,americanus,Ammodytes americanus,99.85,A.dubius (Northern Sand Lance) is a 99.85 match,American Sand Lance,2103,E14,4.1,40.40.2219,72.49.2217,,,Larva,https://drive.google.com/file/d/1aTQUNcW2aLssitaFlgpWZATvujkUcZNz/view?usp=share_link,,,,
NYOS2202E02SW_C01,NYOS2202E02SW_C01,0,Brevoortia,tyrannus,Brevoortia tyrannus,,Good - SW ID'd,Atlantic Menhaden,2202,E02,7.2,,,,,Larva,https://drive.google.com/file/d/1a-u1j9j_bwdCeTvIdU6nb3y1H7FD1aeK/view?usp=share_link,,,,
NYOS2105E24SW_C02,NYOS2105E24SW_C02,652,Merluccius,bilinearis,Merluccius bilinearis,99.85,,Silver Hake,2105,E24,4.1,40.40.354,72.49.362,,26.21,Egg,https://drive.google.com/file/d/1mSw-foqF4Et078w85EIMWsZuGNUxNMbs/view?usp=share_link,,,,
NYOS2207E01SW_C03,NYOS2207E01SW_C03,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Larva,https://drive.google.com/file/d/1-4c_McJqZEBx-f2DbV2kv79jr2L34nDL/view?usp=share_link,,,,
NYOS2207E01SW_C04,NYOS2207E01SW_C04,652,Centropristis,striata,Centropristis striata,100,,Black Seabass,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Larva,https://drive.google.com/file/d/1pHWxcn1cg9A-7vRJJt4CxSNXUm458nDR/view?usp=share_link,,,,
NYOS2207E01SW_C05,NYOS2207E01SW_C05,652,Prionotus,evolans,Prionotus evolans,99.84,,Striped Searobin,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1_ZNL_FMdadgv4Qxafds2ODFjMjeTz5ru/view?usp=share_link,,,,
NYOS2207E01SW_C06,NYOS2207E01SW_C06,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.69,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1KizXc12K8nlHZDbk8QtwI0W346slMy4o/view?usp=share_link,,,,
NYOS2207E01SW_C07,NYOS2207E01SW_C07,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.69,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1hUsFkJr87u_SEiQfjpfoUK5YOc9Ys123/view?usp=share_link,,,,
NYOS2207E01SW_C08,NYOS2207E01SW_C08,652,Paralichthys,oblongus,Paralichthys oblongus,99.82,Hippoglossina oblonga,Fourspot Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Larva,https://drive.google.com/file/d/1pm-sXs8lfPhhZf90STRy6LlIKSbDViWl/view?usp=share_link,,,,
NYOS2207E01SW_C09	,NYOS2207E01SW_C09,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.54,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1cEB6QGS3erRwhRrPbsYjcfoLJAx90d45/view?usp=share_link,,,,
NYOS2207E01SW_C10,NYOS2207E01SW_C10,650,Centropristis,striata,Centropristis striata,99.84,,Black Seabass,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1PGOZp1DbdbLDkyhw0oe-nOwF8JZkcH_n/view?usp=share_link,,,,
NYOS2207E01SW_C11,NYOS2207E01SW_C11,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.39,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1mRKdxXa06za0dWXC33Td4_N56NxTVaSn/view?usp=share_link,,,,
NYOS2207E01SW_C12,NYOS2207E01SW_C12,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1T9NG-5whBaLthy9Sl9-w4KT0IfQyUYxy/view?usp=share_link,,,,
NYOS2207E01SW_D01,NYOS2207E01SW_D01,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1sgot-7p4CIozKC-lIM2KWxouhhQJaRla/view?usp=share_link,,,,
NYOS2207E01SW_D02,NYOS2207E01SW_D02,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.85,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1ej9ekTJoql1a8W4a4f4IeoA4Mt7qvsdI/view?usp=share_link,,,,
NYOS2207E01SW_D03,NYOS2207E01SW_D03,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.69,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1DFnCnLZcthishkHiPGOeWsNt5cXkTDrC/view?usp=share_link,,,,
NYOS2207E01SW_D04,NYOS2207E01SW_D04,652,Etropus,microstomus,Etropus microstomus,99.85,,Smallmouth Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1O1s19gUGKB_f7PYL8TU6tsymCgFDKnho/view?usp=share_link,,,,
NYOS2207E01SW_D05,NYOS2207E01SW_D05,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.85,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1H4Akh042Fdg0PS3xZdeGUYLkJy2jFis7/view?usp=share_link,,,,
NYOS2207E01SW_D06,NYOS2207E01SW_D06,652,centropristis,striata,centropristis striata,100,,Black Seabass,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Larva,https://drive.google.com/file/d/1Eu6N6Ocj815yzCQUsX4BJ_1z9_AUayHs/view?usp=share_link,,,,
NYOS2207E01SW_D07,NYOS2207E01SW_D07,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.54,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1PGfYdKsjsvjtO7aFRjSzUcEWbr3lUzmM/view?usp=share_link,,,,
NYOS2207E01SW_D08,NYOS2207E01SW_D08,644,Citharichthys,arctifrons,Citharichthys arctifrons,99.53,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1o8DEUuJPn7LyQGSmdqAsdVdYzFO6riBh/view?usp=share_link,,,,
NYOS2207E01SW_D09,NYOS2207E01SW_D09,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/13gaZOv35qKWfoLdImJ9u3BA5_b0E16mT/view?usp=share_link,,,,
NYOS2207E01SW_D10,NYOS2207E01SW_D10,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.54,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1MrMoKrdk5cr7hKlK8oicQmYFr4skZscN/view?usp=share_link,,,,
NYOS2207E01SW_D11,NYOS2207E01SW_D11,652,Tautogolabrus,adspersus,Tautogolabrus adspersus,100,,Cunner,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1owa2ImrYjHKaDMq1YQDEI7e43ygVoLky/view?usp=share_link,,,,
NYOS2207E01SW_D12,NYOS2207E01SW_D12,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1o-YmmBfHqJpI06iGSLSd_vVZwa3qDLOO/view?usp=share_link,,,,
NYOS2207E01SW_E01,NYOS2207E01SW_E01,652,Prionotus,evolans,Prionotus evolans,100,,Striped Searobin,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1dP-xP3ep_aXB9LtDSIB7kUOmjQKjFfCQ/view?usp=share_link,,,,
NYOS2207E01SW_E02,NYOS2207E01SW_E02,652,Centropristis,striata,Centropristis striata,100,,Black Seabass,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1NmSuQ20DXl-fGDeVgqwELOF_sSCJ3KbA/view?usp=share_link,,,,
NYOS2207E01SW_E03,NYOS2207E01SW_E03,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.85,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1sf9Bcg242fzx36qry-NJcPQpTubSUD6_/view?usp=share_link,,,,
NYOS2207E01SW_E04,NYOS2207E01SW_E04,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.54,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1h0Cyd34d365_tacIM53li0gS5JOJdI2c/view?usp=share_link,,,,
NYOS2207E01SW_E05,NYOS2207E01SW_E05,652,Citharichthys,arctifrons,Citharichthys arctifrons,99.85,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1NDKtJ7XXXt4-KOlprdqLW1M8Zfffm25o/view?usp=share_link,,,,
NYOS2207E01SW_E06,NYOS2207E01SW_E06,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1YG4VH_gXWi8QP_d6cbRRVX4dUWi3ixkw/view?usp=share_link,,,,
NYOS2207E01SW_E07,NYOS2207E01SW_E07,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1cDkSvHJzuvuISauaWjBfool0jfNNx94X/view?usp=share_link,,,,
NYOS2207E01SW_E08,NYOS2207E01SW_E08,652,Centropristis,striata,Centropristis striata,100,,Black Seabass,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1qqV7aiF33t-JIQentk_yJid-YaZI42SW/view?usp=share_link,,,,
NYOS2207E01SW_E09,NYOS2207E01SW_E09,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1NPDbirkJ1H0b0kJEbq_kBZ6E3UCKo4Xx/view?usp=share_link,,,,
NYOS2207E01SW_E10,NYOS2207E01SW_E10,652,centropristis,striata,centropristis striata,100,,Black Seabass,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1MjgQJRgp9PCJPGXa09b96CvYVpW77vn0/view?usp=share_link,,,,
NYOS2207E01SW_E11,NYOS2207E01SW_E11,635,Citharichthys,arctifrons,Citharichthys arctifrons,99.37,,Gulfstream Flounder,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1jeyEYiv7Z9BIxwSp3ZzyMrDJkgXHapEM/view?usp=share_link,,,,
NYOS2207E01SW_E12,NYOS2207E01SW_E12,652,Centropristis,striata,Centropristis striata,100,,Black Seabass,2207,E01,7.1,40.30.0127,73.47.4739,23,21,Egg,https://drive.google.com/file/d/1qif9XDq88cNFRZs7FLrHLkw5l17ZRZ5N/view?usp=share_link,,,,
NYOS2207E02ASW_F01,NYOS2207E02ASW_F01,652,Pomatomus,saltatrix,Pomatomus saltatrix,99.85,,Bluefish,2207,E02,6.1,40.31.055,73.26.700,23.4,17.16,Egg,https://drive.google.com/file/d/1oCXg-z3fUuCiqBFFKm7Yu29jrLLPb9UZ/view?usp=share_link,,,,
NYOS2207E02ASW_F02,NYOS2207E02ASW_F02,652,Prionotus,carolinus,Prionotus carolinus,99.53,,Northern Searobin,2207,E02,6.1,40.31.055,73.26.700,23.4,17.16,Egg,https://drive.google.com/file/d/1ExuYG96leDuo2elYXL4z1MZEN2ZGkD7L/view?usp=share_link,,,,
NYOS2207E02ASW_F03,NYOS2207E02ASW_F03,652,Prionotus,carolinus,Prionotus carolinus,99.69,P.rubio (Blackwing searobin)99.17 percent match ,Northern Searobin,2207,E02,6.1,40.31.055,73.26.700,23.4,17.16,Egg,https://drive.google.com/file/d/1XDpZMKkjJ1tehdK1-g1l9-0Ai2XnizF5/view?usp=share_link,,,,
NYOS2207E02ASW_F04,NYOS2207E02ASW_F04,652,Paralichthys,oblongus,Paralichthys oblongus,100,Hippoglossina oblonga,Fourspot Flounder,2207,E02,6.1,,,,,Larva,https://drive.google.com/file/d/1qa3OU2zzDYd8er0fRpJmOBcs_tbGXBzj/view?usp=share_link,,,,
NYOS2207E02ASW_F05,NYOS2207E02ASW_F05,652,Pomatomus,saltatrix,Pomatomus saltatrix,100,,Bluefish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1dwPAeO0HUR2w9bUSbZHwjWF76vPjuX5F/view?usp=share_link,,,,
NYOS2207E02ASW_F06,NYOS2207E02ASW_F06,652,Etropus,microstomus,Etropus microstomus,99.85,,Smallmouth Flounder,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1W2ua63KRWafsJyvRN2-20ilMGqQ0BdUm/view?usp=share_link,,,,
NYOS2207E02ASW_F07,NYOS2207E02ASW_F07,652,Prionotus,carolinus,Prionotus carolinus,99.69,P.rubio (Blackwing searobin)99 percent match ,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1TjQy1KGuR0zq5mOqXuguNLXjFOe5itKQ/view?usp=share_link,,,,
NYOS2207E02ASW_F08,NYOS2207E02ASW_F08,652,Peprilus,triacanthus,Peprilus triacanthus,99.69,,Butterfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1m6YqHN-RtzJs_Sy6N9lX-aciqUzulKpe/view?usp=share_link,,,,
NYOS2207E02ASW_F09,NYOS2207E02ASW_F09,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1anc4Wrgu_A6FBUHvyJfK9Mag7EpzrpLx/view?usp=share_link,,,,
NYOS2207E02ASW_F10,NYOS2207E02ASW_F10,652,Etropus,microstomus,Etropus microstomus,99.69,,Smallmouth Flounder,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1Ga956usUrEG4DyRWNmFh-xTlZT3Gvbi0/view?usp=share_link,,,,
NYOS2207E02ASW_F11,NYOS2207E02ASW_F11,652,Menticirrhus,saxatilis,Menticirrhus saxatilis,99.85,,Northern Kingfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1aLwjWWOEQEeSgFO_Y87cso7-z2QVPrnc/view?usp=share_link,,,,
NYOS2207E02ASW_F12,NYOS2207E02ASW_F12,652,Tautoga,onitis,Tautoga onitis,100,,Blackfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1vDinoCogkiNJUCp8pPIv4Q7J0k480a02/view?usp=share_link,,,,
NYOS2207E02ASW_G01,NYOS2207E02ASW_G01,652,Prionotus,carolinus,Prionotus carolinus,100,,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1xZMn00_jA-m1L_ndJ5DOXBKPmpuGtcBg/view?usp=share_link,,,,
NYOS2207E02ASW_G02,NYOS2207E02ASW_G02,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E02,6.1,,,,,Larva,https://drive.google.com/file/d/1oGEcY-MMx2QLTU3gP9PDUNZ7iITXFv1h/view?usp=share_link,,,,
NYOS2207E02ASW_G03,NYOS2207E02ASW_G03,652,Prionotus,carolinus,Prionotus carolinus,100,P.rubio(Blackwing seaborin) 99.33 percent match,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1mZ9VjjqaCzphbkB4XN_Fa1f7DwWCFeap/view?usp=share_link,,,,
NYOS2207E02ASW_G04,NYOS2207E02ASW_G04,652,Prionotus,carolinus,Prionotus carolinus,99.84,P.rubio(Blackwing seaborin)99.17 percent match,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1vgt9Ujz7byLE0FRIX53xfjximJgYAiMO/view?usp=share_link,,,,
NYOS2207E02ASW_G05,NYOS2207E02ASW_G05,652,Tautoga,onitis,Tautoga onitis,100,,Blackfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/16K6uJ90LY_sQyUUKM9M1mm11W3N6pr9Q/view?usp=share_link,,,,
NYOS2207E02ASW_G06,NYOS2207E02ASW_G06,652,Menticirrhus,saxatilis,Menticirrhus saxatilis,100,,Northern Kingfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/10Cjba6dCd9_2YTH1M4SXBSjX57tkPsCk/view?usp=share_link,,,,
NYOS2207E02ASW_G07,NYOS2207E02ASW_G07,652,Prionotus,carolinus,Prionotus carolinus,99.69,,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1f6e0n1NrzfCUMvYuURy8cY5O7OnyRdOK/view?usp=share_link,,,,
NYOS2207E02ASW_G08,NYOS2207E02ASW_G08,652,Peprilus,triacanthus,Peprilus triacanthus,100,P.burti (Butterfish) 99.54 percent match,Butterfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1rVEzFBdVxHDtbPkGRq7SyrgAaw6LXVC1/view?usp=share_link,,,,
NYOS2207E02ASW_G09,NYOS2207E02ASW_G09,652,Opisthonema,oglinum,Opisthonema oglinum,100,,Atlantic Thread Herring,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1kPbbWwjVrBv2Mz1CmQMuS6iOw8JnYO4w/view?usp=share_link,,,,
NYOS2207E02ASW_G10,NYOS2207E02ASW_G10,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2207,E02,6.1,,,,,Larva,https://drive.google.com/file/d/1wlYs0CAvQduuGy-nByheOq4WpMsx-ZzY/view?usp=share_link,,,,
NYOS2207E02ASW_G11,NYOS2207E02ASW_G11,652,Tautoga,onitis,Tautoga onitis,100,,Blackfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1TslWheOZ9Ns_f2qo5IzvJ37A_GJzKb7V/view?usp=share_link,,,,
NYOS2207E02ASW_G12,NYOS2207E02ASW_G12,652,Paralichthys,oblongus,Paralichthys oblongus,100,Hippoglossina oblonga,Fourspot Flounder,2207,E02,6.1,,,,,Larva,https://drive.google.com/file/d/1s6bHvZwLnilDHpbbIeA36pKsQFn9Xz5K/view?usp=share_link,,,,
NYOS2207E02ASW_H01,NYOS2207E02ASW_H01,639,Tautoga,onitis,Tautoga onitis,100,,Blackfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1qRd2IBjys-mIDMjEZSiF-QWLjs7mIwFI/view?usp=share_link,,,,
NYOS2207E02ASW_H02,NYOS2207E02ASW_H02,652,Centropristis,striata,Centropristis striata,100,,Black Seabass,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1q4812HBnyKxeLVJM8dtO85d_zASzInPP/view?usp=share_link,,,,
NYOS2207E02ASW_H03,NYOS2207E02ASW_H03,652,Pomatomus,saltatrix,Pomatomus saltatrix,100,,Bluefish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1xPYKdMncoPTd3QHWFlr4JM-8ctdNi9zR/view?usp=share_link,,,,
NYOS2207E02ASW_H04,NYOS2207E02ASW_H04,652,Prionotus,carolinus,Prionotus carolinus,99.84,P.rubio (Blackwing seaborin) 99.17 percent match,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1eJH2VIx_RlE8cUUflBdzskVnYdmAon4u/view?usp=share_link,,,,
NYOS2207E02ASW_H05,NYOS2207E02ASW_H05,652,Cynoscion,regalis,Cynoscion regalis,100,,Weakfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1m98v64br1e_XQMybdvdHcjkzgYwjM5UA/view?usp=share_link,,,,
NYOS2207E02ASW_H06,NYOS2207E02ASW_H06,652,Prionotus,carolinus,Prionotus carolinus,100,P.rubio (Blackwing seaborin) 99.17 match ,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1XZ3LpnJVjYdL9uKFpQZBETC5xUA7ObwS/view?usp=share_link,,,,
NYOS2207E02ASW_H07,NYOS2207E02ASW_H07,652,Tautoga,onitis,Tautoga onitis,100,,Blackfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1cQrlu8HEY6ofTMuYN8mh5mcGEWDzpw4I/view?usp=share_link,,,,
NYOS2207E02ASW_H08,NYOS2207E02ASW_H08,652,Menticirrhus,saxatilis,Menticirrhus saxatilis,100,,Northern Kingfish,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1hnBWrf0uWuqODbG1RkrWDgG3Vg0WF5Ls/view?usp=share_link,,,,
NYOS2207E02ASW_H09,NYOS2207E02ASW_H09,652,Prionotus,evolans,Prionotus evolans,99.84,,Striped Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1oAp0ezuKNLLTk2Cj05g7C6Zbbc7dI-u5/view?usp=share_link,,,,
NYOS2207E02ASW_H10,NYOS2207E02ASW_H10,649,Prionotus,carolinus,Prionotus carolinus,99.69,P.rubio ( Blackwing seaborin ) 99 percent match ,Northern Searobin,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1sRMqW-MVfu-Omd2LBLSFYHv4-KU4n2-u/view?usp=share_link,,,,
NYOS2207E02ASW_H11,NYOS2207E02ASW_H11,652,Etropus,microstomus,Etropus microstomus,100,,Smallmouth Flounder,2207,E02,6.1,,,,,Egg,https://drive.google.com/file/d/1VuKGrrGCIut8cYOdzkITGLwPLWXg3lvl/view?usp=share_link,,,,
NYOS2207E06SW_A01,NYOS2207E06SW_A01,638,Citharichthys,arctifrons,Citharichthys arctifrons,99.53,,Gulfstream Flounder,2207,E06,6.5,39.07.956,72.56.550,25.61,80,Larva,https://drive.google.com/file/d/1GA_VNY1n_whlBTgjfO9xqv1C1AjhvUbE/view?usp=share_link,,,,
NYOS2207E06SW_A02,NYOS2207E06SW_A02,639,Citharichthys,arctifrons,Citharichthys arctifrons,99.53,,Gulfstream Flounder,2207,E06,6.5,,,,,Larva,https://drive.google.com/file/d/1vfqrlRFErLq2SCaG3t2k-TI8LZ9IxkM9/view?usp=share_link,,,,
NYOS2207E06SW_A03,NYOS2207E06SW_A03,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2207,E06,6.5,,,,,Larva,https://drive.google.com/file/d/1Vyg2JLcFIp3fMEVSwobFTYgI7rB9fCGy/view?usp=share_link,,,,
NYOS2207E06SW_A04,NYOS2207E06SW_A04,636,Citharichthys,arctifrons,Citharichthys arctifrons,99.69,,Gulfstream Flounder,2207,E06,6.5,,,,,Egg,https://drive.google.com/file/d/1FevSoZq2O1zfyW_dvtTgOQAwd1_x9gyA/view?usp=share_link,,,,
NYOS2207E06SW_A05,NYOS2207E06SW_A05,628,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2207,E06,6.5,,,,,Egg,https://drive.google.com/file/d/1TUGKLyact46wryMvK8DH-XKD1cLP3JsB/view?usp=share_link,,,,
NYOS2207E06SW_A06,NYOS2207E06SW_A06,631,Peprilus,triacanthus,Peprilus triacanthus,100,,Butterfish,2207,E06,6.5,,,,,Larva,https://drive.google.com/file/d/1zgpWQXPcF9093WcbWG6xJ3Pe-uIj5ftK/view?usp=share_link,,,,
NYOS2207E06SW_A07,NYOS2207E06SW_A07,0,Citharichthys,arctifrons,Citharichthys arctifrons,,Good; HIGH VISUAL ID,Gulfstream Flounder,2207,E06,6.5,,,,,Larva,https://drive.google.com/file/d/1XiNHH7bSzis0fteQQysUpAgUkWUWjXtc/view?usp=share_link,,,,
NYOS2207E05SW_A08,NYOS2207E05SW_A08,572,Auxis,rochei,Auxis rochei,99.82,,Bullet Tuna,2207,E05,6.4,,,,,Larva,https://drive.google.com/file/d/11qKdEAKAd9kSd_YPS-rlPu6uXsRSS0nV/view?usp=share_link,,,,
NYOS2207E05SW_A09,NYOS2207E05SW_A09,628,Peprilus,triacanthus,Peprilus triacanthus,99.84,Peprilus burti 99.36,Butterfish,2207,E05,6.4,,,,,Egg,https://drive.google.com/file/d/1eU8CkLb9dXXjG0vZKJnNhWUNxx3rqxUw/view?usp=share_link,,,,
NYOS2207E05SW_A10,NYOS2207E05SW_A10,622,Auxis,rochei,Auxis rochei,100,,Bullet Tuna,2207,E05,6.4,,,,,Egg,https://drive.google.com/file/d/1gMR661vRCW4MZVJ28TPVbjCv-0thPohd/view?usp=share_link,,,,
NYOS2207E05SW_A11,NYOS2207E05SW_A11,626,Auxis,rochei,Auxis rochei,100,,Bullet Tuna,2207,E05,6.4,,,,,Egg,https://drive.google.com/file/d/1CFLS2OIBmV8lLlBB8ANHdHKXVNSIxiMS/view?usp=share_link,,,,
NYOS2207E05SW_A12,NYOS2207E05SW_A12,558,Ophichthus,cruentifer,Ophichthus cruentifer,100,,Margined Snake Eel,2207,E05,6.4,,,,,Larva,https://drive.google.com/file/d/10HdhQwLktpgBbIRWuL9KxAVRpyJC6oJv/view?usp=share_link,,,,
NYOS2207E05SW_B01,NYOS2207E05SW_B01,644,Auxis,rochei,Auxis rochei,99.84,,Bullet Tuna,2207,E05,6.4,,,,,Egg,https://drive.google.com/file/d/1cHloDLxTffdaHKxPzDozz8akGGOrgMc9/view?usp=share_link,,,,
NYOS2207E05SW_B02,NYOS2207E05SW_B02,0,Citharichthys,arctifrons,Citharichthys arctifrons,,Okay (young); DNA SUBWAY,Gulfstream Flounder,2207,E05,6.4,,,,,Larva,https://drive.google.com/file/d/1mE8vrHm6GG6l7JXTI2BG20uJDUAhu6vw/view?usp=share_link,,,,
NYOS2207E05SW_B03,NYOS2207E05SW_B03,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2207,E05,6.4,,,,,Larva,https://drive.google.com/file/d/1VISpjVLlLeAyWzoGgiaPrDXVmflZlD90/view?usp=share_link,,,,
